,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,changePercentage
991,Nike React Phantom Run Flyknit 2 Sail Light Bone,Nike,140,2022-06-08,71,206,12,80,40,205,67,0.204931,994,-0.507,115,69,-0.174117
992,Jordan 3 Retro Fire Red (2022) (PS),Jordan,100,2022-09-10,64,187,12,66,51,172,50,0.131754,978,-0.45,81,55,-0.303797
993,New Balance 990v5 Grey (Women's),New Balance,175,2019-05-04,124,113,12,137,64,330,42,0.18278,966,0.184,171,208,0.802452
994,Nike Dunk Low Florida A&M University,Nike,120,2022-10-18,208,127,12,315,120,849,140,0.252593,950,1.017,349,242,0.043103
995,Nike Air Max 90 Metallic Silver (2020) (Women's),Nike,160,2020-03-26,70,123,12,151,56,249,32,0.379795,906,-0.293,93,114,0.886017
996,adidas Samba ADV Black Gum,adidas,85,2022-04-02,81,104,12,135,76,314,62,0.280103,868,0.193,126,102,0.010752
997,Jordan 7 Retro SE Vachetta Tan,Jordan,210,2022-10-22,110,149,12,135,84,400,95,0.230919,857,-0.524,149,100,-0.047619
998,Nike Dunk High Pink Oxford (Women's),Nike,120,2022-09-22,98,190,12,117,61,228,83,0.181746,831,-0.083,138,110,-0.043478
999,Jordan 1 Mid SE Orange Wear Away,Jordan,110,2022-10-25,88,255,12,90,123,241,72,0.074572,810,-0.164,110,92,0.0
1000,adidas Yeezy Foam RNR Onyx,adidas,80,2022-06-08,159,3560,2615,226,1193,833,138,0.092028,8904,1.3,188,184,0.051429
1001,Jordan 1 Retro High OG Visionaire,Jordan,170,2022-06-11,186,1149,478,220,567,343,137,0.054394,1146,0.118,209,190,-0.02405
1002,Jordan 4 Retro Infrared,Jordan,200,2022-06-15,255,1284,345,300,547,2043,216,0.032678,938,0.3,333,260,-0.018868
1003,NikeCraft General Purpose Shoe Tom Sachs,Nike,110,2022-06-10,310,530,176,725,1141,2199,100,0.406753,827,1.909,566,320,-0.38928
1004,adidas Yeezy Boost 700 Hi-Res Red,adidas,300,2022-06-17,340,312,111,341,155,449,295,0.0242,112,0.167,354,350,0.008646
1005,adidas Yeezy Boost 700 MNVN Laceless Phosphor,adidas,220,2022-06-13,162,380,88,250,109,400,135,0.183659,88,0.091,217,240,-0.020408
1006,Nike Dunk Low Retro White Black Panda (2021),Nike,110,2021-03-10,177,3867,1845,227,1241,1022,0,0.095246,135108,0.773,261,195,-0.01904
1007,adidas Yeezy Slide Pure (Restock Pair),adidas,60,2021-12-13,120,3269,1632,232,1661,349,36,0.105371,60925,1.7,162,162,0.0
1008,adidas Yeezy Slide Onyx,adidas,60,2022-03-07,99,3244,1538,241,1744,575,89,0.336037,36623,1.333,176,140,-0.007092
1009,Nike Air Force 1 Low '07 White,Nike,90,2007-11-24,96,2879,1293,135,1006,247,25,0.122526,160119,0.022,115,92,-0.070707
1010,Jordan 4 Retro Military Black,Jordan,210,2022-05-21,299,2447,736,310,2593,695,224,0.080825,15636,0.486,336,312,-0.025
1011,adidas Yeezy Foam RNR Desert Sand,adidas,80,2022-06-11,146,725,713,202,257,294,135,0.082573,1053,0.812,180,145,-0.033333
1012,adidas Yeezy Slide Glow Green (2022) (Restock),adidas,60,2022-05-31,81,3718,692,180,897,210,70,0.10647,11120,0.5,104,90,-0.090909
1013,Nike Dunk Low Retro White Black (GS),Nike,85,2021-03-10,150,1840,624,169,544,300,112,0.0538,56024,0.906,210,162,-0.067355
1014,Nike Dunk Low Coconut Milk,Nike,100,2022-03-01,143,1519,538,290,687,439,110,0.120545,9863,0.5,166,150,-0.117647
1015,Jordan 1 Retro High OG Stage Haze,Jordan,170,,204,1392,463,250,1473,715,170,0.061437,6261,0.276,226,217,-0.086462
1016,Nike Air Max 1 Travis Scott Cactus Jack Baroque Brown,Nike,150,2022-05-27,322,2035,440,431,2032,4901,248,0.08943,4500,1.687,555,403,-0.182556
1017,Nike Dunk Low Two-Toned Grey (GS),Nike,85,2022-03-01,108,1230,410,113,273,208,97,0.04397,8821,0.353,140,115,0.045455
1018,Nike Dunk Low Next Nature White Black (W),Nike,100,2021-11-03,171,730,376,186,434,353,140,0.046803,14044,0.89,202,189,0.098837
1019,adidas Yeezy Foam RNNR Sulfur,adidas,90,2022-04-16,138,1765,376,188,394,323,120,0.07422,8243,1.067,180,186,0.265306
1020,adidas Yeezy Boost 350 V2 Zebra,adidas,220,2017-02-25,257,3553,375,300,941,1154,223,0.04188,28257,0.245,334,274,-0.119298
1021,adidas Yeezy Boost 350 V2 Bone,adidas,230,2022-03-21,231,3478,375,263,626,771,200,0.080212,20024,0.357,281,312,0.248168
1022,New Balance 550 White Grey,New Balance,100,2022-01-14,125,1426,366,190,457,448,101,0.067512,21809,0.52,171,152,-0.084337
1023,Jordan 1 Retro High OG Patent Bred,Jordan,170,2021-12-30,192,4058,345,361,892,1500,166,0.218613,59732,0.282,330,218,0.048077
1024,Jordan 4 Retro Military Black (GS),Jordan,160,2022-05-21,178,1379,344,221,1065,646,160,0.097544,5859,0.481,234,237,0.077273
1025,adidas Adilette 22 Slides St Desert Sand,adidas,55,2022-06-01,67,355,333,81,166,179,55,0.080985,1124,0.509,80,83,0.092105
1026,Jordan 1 Low Shadow Toe,Jordan,100,2022-03-01,133,964,330,200,600,378,114,0.072197,5719,0.7,160,170,0.231884
1027,Nike Dunk Low Safari Mix (W),Nike,120,2022-05-05,109,1888,308,240,343,430,94,0.050192,14115,0.042,148,125,0.041667
1028,Jordan 1 Retro High OG Heritage,Jordan,170,2022-05-25,155,3784,306,163,633,650,116,0.048907,8946,-0.088,195,155,0.0
1029,Nike Dunk Low Rose Whisper (W),Nike,100,2022-03-01,157,1538,300,167,514,310,140,0.049362,5564,0.75,179,175,0.0
1030,Jordan 2 Retro A Ma Maniére Airness,Jordan,225,2022-06-04,250,1589,299,369,949,600,240,0.075905,2230,0.778,358,400,0.17393
1031,Jordan 6 Retro Red Oreo,Jordan,200,2022-06-04,188,1045,295,242,187,526,180,0.058685,1940,0.005,227,201,0.052356
1032,Nike Dunk Low White Black (2021) (W),Nike,100,2021-03-10,190,1725,294,200,388,345,144,0.045877,60174,1.17,234,217,0.002995
1033,adidas Yeezy Foam RNNR Stone Sage,adidas,90,2022-03-11,161,1968,288,211,377,345,137,0.070939,20867,0.844,189,166,0.012195
1034,Nike Dunk Low Racer Blue White,Nike,100,,135,768,281,215,1010,370,113,0.102715,5863,0.43,149,143,0.059259
1035,adidas Yeezy Slide Ochre,adidas,60,2021-12-13,93,1853,277,196,418,335,78,0.116474,51689,1.217,131,133,0.099174
1036,Nike Air Max 1 Kasina Won-Ang Orange,Nike,160,2022-06-08,195,772,276,233,947,616,175,0.066189,1349,0.219,247,195,0.020942
1037,Nike Air Max 1 Travis Scott Cactus Jack Saturn Gold,Nike,150,2022-05-27,228,2365,266,350,1868,3000,198,0.132355,4447,1.193,417,329,0.057042
1038,Jordan 11 Retro Cool Grey (2021),Jordan,225,2021-12-11,212,3463,262,367,663,841,150,0.140762,115541,0.462,317,329,0.348193
1039,Jordan 1 Low Bred Toe,Jordan,100,2021-12-08,129,2787,261,141,673,317,102,0.061012,29281,0.29,160,129,-0.043513
1040,Nike Dunk High Black White (2021),Nike,110,2022-01-27,126,1666,256,195,290,377,36,0.074463,18945,0.227,180,135,0.054688
1041,adidas Yeezy Boost 350 V2 Beluga Reflective,adidas,240,2021-12-18,214,3874,247,300,617,821,212,0.12569,44487,0.067,316,256,-0.085714
1042,Nike Dunk Low Premium Vast Grey,Nike,100,2022-03-01,134,688,247,185,453,385,124,0.144903,8151,0.41,186,141,-0.096842
1043,Nike Air Max 1 Kasina Won-Ang Grey,Nike,160,2022-06-08,196,705,247,271,970,698,168,0.039004,1201,0.294,245,207,0.009756
1044,Jordan 5 Retro Green Bean (2022),Jordan,200,2022-05-28,163,1594,245,250,254,410,140,0.034806,3127,-0.185,200,163,-0.052326
1045,Nike Dunk Low Team Red (2022),Nike,100,2022-05-12,156,1735,242,250,490,407,135,0.070639,7593,0.59,192,159,-0.070175
1046,Nike Air Force 1 Low '07 Black Black,Nike,90,2017-09-22,100,642,239,110,221,230,41,0.03484,36806,0.178,113,106,-0.018519
1047,Jordan 4 Retro Zen Master,Jordan,210,2022-03-19,229,1755,239,340,315,1000,205,0.079121,852,0.267,298,266,0.031008
1048,Nike Air Force 1 Mid Stussy Hemp,Nike,150,2022-05-13,108,1481,218,154,427,429,95,0.056618,1820,-0.14,159,129,-0.009258
1049,Jordan 11 Retro Low 72-10,Jordan,190,2022-05-14,180,2099,215,225,320,410,100,0.067032,7695,-0.105,209,170,-0.028571
1050,Nike Dunk Low UNC (2021),Nike,100,2021-06-24,285,935,205,400,434,755,200,0.077581,21985,2.12,331,312,-0.163539
1051,Jordan 1 Mid Diamond Shorts,Jordan,120,2022-02-09,146,2017,198,211,490,410,60,0.083447,21917,0.25,175,150,0.000133
1052,Jordan 1 Mid Linen,Jordan,115,2021-11-24,150,1274,196,171,425,394,90,0.059479,30885,0.374,182,158,0.060403
1053,Nike Dunk Low EMB NBA 75th Anniversary Chicago,Nike,110,2021-10-23,134,1325,196,165,426,425,120,0.059457,21569,0.536,204,169,0.05422
1054,Nike Air Force 1 Low Supreme White,Nike,96,2020-03-05,144,1229,195,350,762,671,0,0.122911,51963,1.135,175,205,0.263057
1055,adidas Yeezy Boost 700 Wave Runner Solid Grey,adidas,300,2017-11-01,338,2815,194,365,653,961,250,0.062504,29213,0.123,406,337,-0.146835
1056,Nike Dunk Low Valerian Blue,Nike,100,2022-05-01,180,675,194,212,671,456,147,0.115571,4025,0.81,191,181,-0.138095
1057,Nike Dunk Low 3D Swoosh,Nike,100,2022-05-01,121,805,189,146,311,255,105,0.068169,1370,0.49,143,149,-0.006945
1058,Jordan 1 Retro High OG Rebellionaire,Jordan,170,2022-03-12,146,1503,187,450,873,850,128,0.249209,16788,-0.053,273,161,0.063661
1059,New Balance 550 Cream Black,New Balance,100,2022-03-05,171,626,186,206,365,431,84,0.106368,3344,0.67,215,167,-0.169154
1060,adidas Adilette 22 Slides Grey,adidas,55,,65,168,186,120,109,176,59,0.077538,483,0.545,90,85,0.056483
1061,Nike SB Dunk Low Valour Blue Team Maroon,Nike,100,,152,1140,181,248,395,625,132,0.120765,1760,1.19,223,219,0.177419
1062,Jordan 1 Retro High OG Dark Marina Blue,Jordan,170,2022-02-16,119,3392,180,195,489,550,106,0.148964,24411,-0.018,213,167,-0.051136
1063,Nike SB Dunk Low Pro St. Patrick's Day (2022),Nike,110,2022-03-05,129,1087,178,266,523,1800,113,0.063573,1989,0.709,263,188,-0.009741
1064,Jordan 1 Mid Shadow Red,Jordan,120,2021-10-06,130,1611,176,140,311,418,104,0.086265,18000,0.083,159,130,-0.015152
1065,Jordan 1 Low Shadow Toe (GS),Jordan,90,2022-03-01,120,264,176,135,188,244,109,0.065955,2398,0.433,139,129,-0.097902
1066,adidas Yeezy Boost 350 V2 Dazzling Blue,adidas,220,2022-02-26,231,1665,175,350,631,1277,211,0.105155,26682,0.486,324,327,-0.072392
1067,Jordan 1 Mid UNC (2022) (W),Jordan,120,2022-03-01,146,510,175,152,216,350,125,0.136119,3570,0.325,167,159,-0.176462
1068,Nike Dunk Low Dark Marina Blue,Nike,100,2021-12-01,130,585,172,165,338,450,117,0.086473,6613,0.43,179,143,-0.046667
1069,Crocs Pollex Clog by Salehe Bembury Urchin,Crocs,85,2022-05-24,147,723,171,180,325,840,124,0.068339,2165,0.776,199,151,-0.067901
1070,adidas Yeezy Boost 350 V2 Blue Tint,adidas,220,2017-12-16,215,1446,170,320,434,1157,215,0.091976,21114,0.418,317,312,0.135913
1071,Jordan 12 Retro Playoffs (2022),Jordan,210,2022-03-11,184,2459,165,260,258,525,158,0.1012,26603,0.038,252,218,0.129534
1072,Nike Dunk Low Disrupt 2 Pale Ivory Black (W),Nike,110,2022-05-01,140,441,165,280,301,412,116,0.095376,3269,0.409,164,155,0.258414
1073,Nike Dunk High Panda (2021) (W),Nike,110,2021-07-27,134,1407,163,170,251,321,78,0.066889,34060,0.455,168,160,0.300591
1074,Crocs Pollex Clog by Salehe Bembury Crocodile,Crocs,85,2022-05-24,111,945,162,150,233,630,108,0.177144,1889,0.412,174,120,-0.059928
1075,Jordan 4 Retro Red Thunder,Jordan,190,2022-01-15,298,2400,161,325,731,1000,192,0.070898,37855,0.663,335,316,0.009585
1076,Jordan 1 Retro High Dark Mocha,Jordan,170,2020-10-31,415,1394,161,600,733,1153,230,0.051921,17358,1.5,522,425,0.036585
1077,Nike Dunk Low Chlorophyll (GS),Nike,85,2022-01-15,90,417,159,126,190,280,86,0.108526,2281,0.635,125,139,0.022059
1078,New Balance 530 White Silver Navy,New Balance,95,2021-02-17,89,507,156,175,99,350,62,0.062817,8709,0.032,119,98,-0.02
1079,adidas Yeezy Boost 350 V2 Core Black White,adidas,220,2016-12-17,273,1798,155,375,583,2875,270,0.042823,20788,0.409,333,310,-0.054878
1080,Jordan 1 Mid Light Smoke Grey (GS),Jordan,90,2022-04-07,126,560,155,146,227,240,121,0.067546,907,0.622,158,146,0.0
1081,Jordan 9 Retro Chile Red,Jordan,200,2022-05-07,215,1126,152,260,301,900,190,0.023273,7047,0.145,259,229,0.004386
1082,Nike Air VaporMax 2021 FK White Black Metallic Silver,Nike,200,2021-06-24,91,580,152,174,233,383,40,0.178239,3536,-0.535,143,93,0.0
1083,Nike Air Max 90 Terrascape Sail Sea Glass,Nike,140,2021-10-28,83,668,150,140,262,392,79,0.212384,6596,-0.257,146,104,0.072165
1084,Nike Blazer Mid 77 Vintage White Black,Nike,100,2019-03-25,68,833,149,80,198,276,38,0.14915,24591,-0.21,95,79,0.025974
1085,Jordan 1 Mid Mystic Navy Mint Foam,Jordan,120,2022-04-01,115,1160,148,165,249,295,103,0.040262,2668,0.0,145,120,0.016949
1086,adidas Yeezy Boost 350 V2 Black Red (2017/2020),adidas,220,2017-02-11,285,2377,144,501,430,875,0,0.175508,31355,0.205,404,265,-0.11323
1087,adidas Adilette 22 Slides Magic Lime,adidas,55,2022-06-01,66,300,144,72,80,151,55,0.089127,463,0.2,76,66,-0.131579
1088,adidas Yeezy Foam RNR Onyx (Kids),adidas,60,2022-06-08,114,197,143,160,85,223,95,0.032812,327,1.033,120,122,0.0
1089,Nike Dunk Low Two Tone Grey,Nike,100,2022-03-01,165,621,142,250,381,388,146,0.140028,9022,0.7,204,170,-0.244444
1090,Jordan 1 Retro Low OG Mystic Navy,Jordan,130,2022-06-14,175,331,140,200,206,354,149,0.070241,184,0.231,193,160,-0.188194
1091,Jordan 3 Retro Cardinal Red,Jordan,200,2022-02-19,210,1816,140,226,368,572,188,0.026534,24482,0.15,252,230,0.022222
1092,Nike Dunk Low Championship Court Purple,Nike,100,2022-05-05,176,1538,140,290,420,512,154,0.066574,13052,0.76,208,176,-0.111111
1093,Nike Air Presto Hello Kitty (2022),Nike,140,2022-05-27,116,809,140,225,209,514,90,0.151221,4384,-0.093,165,127,-0.216049
1094,Nike Air Force 1 Low Puerto Rico (2022),Nike,120,2022-06-04,139,239,137,210,266,399,121,0.227714,1458,0.183,171,142,-0.443137
1095,Jordan 6 Retro Midnight Navy (2022),Jordan,190,2022-05-11,170,1422,136,200,259,675,140,0.067352,6069,0.016,217,193,0.078212
1096,Jordan 1 Retro High White University Blue Black,Jordan,170,2021-03-06,345,1882,133,510,867,764,220,0.129407,27897,1.647,419,450,0.285714
1097,Nike Air Trainer 1 SP Travis Scott Wheat,Nike,140,2022-05-27,147,2281,132,202,467,797,108,0.133158,2606,0.05,231,147,-0.16
1098,Nike SB Dunk Low Green Apple,Nike,110,,194,711,132,260,717,956,150,0.056003,1565,1.1,248,231,0.017621
1099,adidas Yeezy Foam RNNR Ochre,adidas,80,2021-08-02,157,1045,131,242,197,540,128,0.083852,48735,1.625,210,210,0.044776
1100,Nike Dunk Low Next Nature White Mint (W),Nike,100,2022-03-11,138,707,131,182,391,354,112,0.161268,7968,0.42,158,142,0.028986
1101,Jordan 5 Retro Low CLOT Jade,Jordan,200,2022-05-14,143,1324,131,380,339,489,120,0.089822,2242,-0.285,197,143,-0.182857
1102,adidas Adilette 22 Slides Black,adidas,55,,62,83,131,150,99,211,60,0.141296,369,1.836,97,156,0.575758
1103,Crocs Pollex Clog by Salehe Bembury Stratus,Crocs,85,2022-05-24,159,721,130,200,354,750,144,0.066836,2075,0.871,213,159,-0.00625
1104,Nike Dunk Low Easter 2022 (W),Nike,110,2022-04-17,114,692,128,126,179,243,101,0.154679,2546,0.127,151,124,-0.015873
1105,Nike Air Force 1 Low White Navy Grey,Nike,100,2022-04-01,141,65,128,146,136,214,120,0.026605,546,0.62,151,162,0.117241
1106,Jordan 1 Retro High OG Brotherhood,Jordan,170,2022-02-24,133,2017,126,164,468,500,115,0.073686,11673,-0.153,198,144,0.028571
1107,Nike Dunk High Pink Prime (W),Nike,115,2022-05-05,128,645,125,135,193,349,100,0.151952,8180,0.087,158,125,-0.140675
1108,Jordan 1 Retro Low Golf Wolf Grey,Jordan,140,2022-01-20,155,733,124,242,359,725,145,0.043576,7955,0.186,239,166,-0.090962
1109,Nike Air Trainer 1 SP Travis Scott Grey Haze,Nike,160,2022-05-27,148,2305,124,190,413,651,131,0.074079,2260,-0.056,221,151,-0.122093
1110,Jordan 1 Low OG Bleached Coral,Jordan,130,,152,329,124,180,345,258,135,0.071635,548,0.131,171,147,-0.08125
1111,Nike Dunk Low Retro Sun Club Wheat Grass Orange,Nike,100,2022-05-01,122,425,121,220,450,424,109,0.135052,2979,0.35,164,135,0.046512
1112,Nike Dunk Low Chlorophyll,Nike,100,,136,195,121,255,370,368,108,0.252608,2372,0.36,160,136,-0.128205
1113,Nike Dunk High Retro Cargo Khaki (2021),Nike,110,2022-04-01,120,676,120,127,100,435,72,0.219471,3005,0.155,147,127,0.0
1114,Jordan 1 Mid Sonics (2021),Jordan,115,2021-11-01,118,1138,119,200,286,319,90,0.059083,4402,0.122,151,129,0.0
1115,Nike Dunk Low Black White (2022),Nike,100,2022-05-01,112,347,118,151,266,278,87,0.153214,2098,0.11,133,111,-0.008929
1116,adidas Yeezy Foam RNR Onyx (Infants),adidas,40,2022-06-08,92,245,117,127,99,174,68,0.037154,265,1.4,101,96,-0.04
1117,Jordan 4 Retro Lightning (2021),Jordan,220,2021-08-28,277,2160,116,321,714,910,198,0.057138,62965,0.295,285,285,-0.033898
1118,Jordan 1 Retro High OG Atmosphere (W),Jordan,170,2021-12-22,189,2044,116,218,416,693,166,0.077951,20115,0.118,260,190,-0.147358
1119,Nike Dunk Low Venice (W),Nike,100,2022-02-02,165,969,115,220,295,314,144,0.050939,10411,0.9,196,190,0.0
1120,Jordan 1 Low Inside Out Cream White Light Grey,Jordan,110,2022-04-01,120,558,115,243,236,285,109,0.143036,1850,0.155,159,127,-0.105634
1121,adidas Yeezy Boost 350 V2 MX Oat,adidas,220,2021-10-23,234,1536,113,290,248,600,175,0.069798,30821,0.182,265,260,-0.094077
1122,Nike Dunk Low Triple White (2021) (W),Nike,100,2021-08-18,115,494,112,132,194,346,80,0.154091,8597,0.11,139,111,-0.159091
1123,Nike SB Dunk Low Pro Bart Simpson,Nike,110,2022-05-07,179,927,112,325,742,850,105,0.20664,4161,0.818,269,200,0.081081
1124,Jordan 1 Low Mocha,Jordan,100,2021-11-19,162,934,110,275,290,558,130,0.085567,13732,0.97,204,197,0.051909
1125,Nike Dunk Low Retro White Black (PS),Nike,65,2021-03-10,65,1124,109,101,123,245,25,0.100811,12963,0.415,102,92,0.010989
1126,Nike Dunk Low Light Iron Ore Red Blue,Nike,110,,122,738,109,155,319,317,112,0.065265,1296,0.345,146,148,0.109801
1127,Nike Dunk Low Championship Goldenrod (2021),Nike,100,2021-12-16,124,1448,108,225,278,398,108,0.111691,20969,0.2,164,120,-0.104478
1128,Nike Blazer Mid 77 White Black (W),Nike,100,2020-04-01,58,492,107,73,72,169,31,0.112278,14933,-0.4,98,60,-0.166667
1129,Jordan 5 Retro Easter (2022),Jordan,210,2022-05-27,186,804,105,350,244,452,155,0.286797,2104,-0.038,221,202,0.004975
1130,Nike Dunk Low Essential Paisley Pack Orange (W),Nike,120,2022-05-01,149,551,105,270,269,522,142,0.083421,1956,0.517,201,182,0.109756
1131,Nike Air Force 1 Low Supreme Black,Nike,96,2020-03-05,138,993,104,191,324,412,123,0.082956,23293,0.573,167,151,0.006667
1132,Jordan 6 Retro UNC White,Jordan,210,2022-03-05,215,1972,104,250,307,624,180,0.06967,21979,0.119,283,235,0.103286
1133,Jordan 1 Mid Armory Navy,Jordan,115,2022-03-29,113,1381,104,145,318,315,105,0.086973,14906,0.696,167,195,0.289458
1134,adidas Yeezy 500 Granite,adidas,210,2022-05-14,220,1347,104,236,272,437,180,0.072316,2296,0.119,242,235,0.005321
1135,Jordan 1 Retro High OG Hyper Royal,Jordan,170,2021-04-17,300,1324,103,450,635,682,131,0.161302,22631,1.0,387,340,0.037943
1136,Nike Dunk High Championship White Red,Nike,115,2022-05-17,125,1073,101,160,248,377,110,0.083189,7269,0.078,156,124,-0.008
1137,Jordan 1 Low Marina Blue (W),Jordan,100,2022-01-29,123,699,100,145,285,281,115,0.072467,5149,0.43,144,143,-0.023879
1138,Jordan 3 Retro Neapolitan Dark Mocha (W),Jordan,200,2022-05-14,193,1005,100,250,467,450,174,0.191591,2943,-0.05,238,190,-0.05
1139,Nike Air Max 90 Terrascape Rattan Black,Nike,150,,83,261,100,141,132,271,84,0.129146,1235,0.047,132,157,-0.102857
1140,adidas Adilette 22 Slides Magic Lime St Desert Sand,adidas,55,2022-06-01,73,194,99,87,129,155,48,0.146936,515,0.473,78,81,-0.319328
1141,Nike Air Force 1 Mid Stussy Light Bone Black,Nike,0,2022-05-13,129,2179,98,174,344,750,100,0.128357,2515,inf,196,153,0.040816
1142,adidas Adilette 22 Slides Black Grey,adidas,55,,82,95,98,140,92,217,58,0.113475,206,0.855,111,102,0.073684
1143,adidas Ultra Boost 4.0 DNA White,adidas,200,2021-03-04,106,333,95,230,151,240,35,0.084331,12870,-0.305,115,139,0.085938
1144,Jordan 1 Low Bred Toe (GS),Jordan,75,2021-12-08,91,1131,93,103,182,181,17,0.076706,16404,0.333,119,100,-0.101229
1145,adidas Yeezy 500 Blush,adidas,200,2018-02-16,237,1014,93,261,236,1043,200,0.123079,9412,0.325,262,265,-0.206978
1146,Jordan 1 Retro High OG A Ma Maniére,Jordan,200,2021-12-03,263,2152,92,351,865,939,235,0.05757,13780,0.635,399,327,0.062806
1147,Jordan 1 Low Black University Blue White (W),Jordan,100,2021-12-14,133,578,92,160,238,295,126,0.150596,8835,0.32,171,132,0.007634
1148,Nike Dunk Low Fossil Rose,Nike,110,2022-05-04,154,1107,92,220,464,432,139,0.146971,6929,0.864,188,205,0.045918
1149,Nike Air Max Correlate Black White Grey,Nike,120,2012-01-01,68,280,92,125,94,198,25,0.177885,4770,-0.375,95,75,-0.299065
1150,Puma LaMelo Ball MB.01 Galaxy,Puma,125,2022-04-29,135,659,92,201,104,367,120,0.039076,2912,0.04,165,130,-0.057971
1151,Jordan 1 Retro High OG Stage Haze (GS),Jordan,140,,142,249,92,165,251,245,128,0.066988,1173,0.214,176,170,-0.121151
1152,Nike SB Dunk Low Blue Raspberry,Nike,110,2022-06-01,217,449,92,300,395,686,150,0.062891,1156,0.818,263,200,-0.145299
1153,Nike SB Dunk Low Light Cognac,Nike,100,,174,571,92,300,411,555,139,0.089959,1101,0.84,198,184,-0.061224
1154,Jordan 1 High Element Gore-Tex Light Bone,Jordan,200,2021-12-16,177,837,91,337,288,560,130,0.107125,10971,-0.1,256,180,0.016949
1155,Jordan 1 Mid SE Light Iron Ore (W),Jordan,120,2022-02-08,110,899,90,128,99,387,88,0.075016,4373,0.117,155,134,0.12605
1156,adidas Yeezy 350 V2 CMPCT Slate Carbon,adidas,230,2022-05-28,199,1319,89,265,178,670,150,0.039589,699,-0.043,254,220,0.0
1157,Nike Dunk Low Grey Fog,Nike,100,2021-09-21,269,569,87,380,403,565,140,0.070602,21109,1.89,281,289,-0.076677
1158,Jordan 5 Retro Racer Blue,Jordan,200,2022-02-12,185,1010,86,234,245,450,172,0.081199,23513,0.235,247,247,0.029167
1159,Nike Dunk Low SE Next Nature Rift Blue,Nike,110,2022-02-01,146,415,86,175,204,491,119,0.1726,3043,0.445,195,159,0.21374
1160,Nike Blazer Low Off-White University Red,Nike,140,2022-04-08,134,1368,85,165,283,571,108,0.087311,7669,0.107,209,155,0.0
1161,Jordan 4 Retro Military Black (PS),Jordan,90,2022-05-21,70,1171,84,85,102,299,50,0.172752,860,-0.233,98,69,-0.148148
1162,Nike Air Force 1 Low '07 QS Purple Skeleton Halloween (2021),Nike,130,2022-04-01,103,678,83,150,193,549,90,0.103732,7271,0.554,177,202,0.100265
1163,Jordan 13 Retro Brave Blue,Jordan,200,2022-04-29,174,1026,82,200,124,424,140,0.079964,4903,-0.14,217,172,0.075
1164,Jordan 1 Retro Low Golf Shattered Backboard,Jordan,140,2022-06-01,140,1495,82,151,195,503,80,0.034525,705,0.107,168,155,0.107143
1165,Nike Air Force 1 Low White (2018) (W),Nike,90,2018-01-01,88,386,81,89,112,176,47,0.200798,15937,0.1,98,99,0.0
1166,Jordan 1 Retro Low Golf Chicago,Jordan,140,2022-03-24,160,857,81,259,534,698,152,0.083519,7812,0.643,260,230,0.19171
1167,Jordan 1 Mid Diamond Shorts (GS),Jordan,100,2022-02-09,120,690,80,134,187,276,113,0.16585,10130,0.25,154,125,0.0
1168,Jordan 1 Mid Light Smoke Grey Anthracite,Jordan,120,2022-04-07,153,1262,79,200,228,397,111,0.106372,15721,0.625,207,195,0.128
1169,Nike Dunk Low Next Nature Sun Club Arctic Orange,Nike,110,2022-05-20,119,582,78,164,176,400,106,0.047188,1701,0.118,154,123,-0.061069
1170,adidas Yeezy Boost 350 V2 MX Rock,adidas,220,2021-12-22,212,2247,77,285,326,950,111,0.057311,21035,0.159,272,255,-0.052045
1171,Nike Blazer Low Off-White Black Electro Green,Nike,140,2022-04-08,104,1508,77,151,252,500,90,0.109908,5387,-0.086,177,128,0.024
1172,Jordan 4 Retro Blank Canvas (W),Jordan,200,2022-03-24,209,489,77,245,496,735,161,0.100377,1000,0.485,284,297,-0.003496
1173,Converse Chuck Taylor All-Star 70 Hi Comme des Garcons PLAY Black,Converse,125,2019-03-30,95,744,76,180,143,387,80,0.203878,12277,0.008,158,126,-0.007874
1174,Jordan 1 Mid SE Craft Inside Out White Grey,Jordan,120,2022-03-01,129,560,76,152,253,298,110,0.103199,1483,0.075,156,129,-0.202527
1175,Nike Dunk Low Graffiti Pink,Nike,110,2022-05-01,117,189,76,201,139,250,100,0.155205,632,0.164,134,128,-0.251462
1176,Nike SB Dunk High New York Mets,Nike,120,2022-06-01,164,769,76,185,158,495,140,0.042246,616,0.425,196,171,0.036364
1177,Nike Air Force 1 Low '07 White Black Pebbled Leather,Nike,90,2021-01-14,90,607,75,100,147,215,50,0.117364,13111,0.356,114,122,0.300903
1178,Nike Dunk Low SE Barber Shop Grey,Nike,110,2022-05-01,125,489,75,216,263,810,105,0.105707,3575,0.291,157,142,0.126984
1179,Nike SB Dunk Low Cherry,Nike,110,,157,705,75,246,366,449,134,0.088737,1364,0.673,200,184,0.083616
1180,adidas Yeezy Boost 350 V2 Light,adidas,220,2021-08-28,230,1749,74,305,217,646,164,0.084996,40923,0.345,272,296,-0.015308
1181,Nike Vaporwaffle sacai Black Gum,Nike,180,2022-03-10,231,963,74,340,451,1106,196,0.120621,8111,0.517,348,273,-0.251063
